Исполнение бюджета СФР по доходам ,
Наименование публично раскрываемого показателя,Значение показателя
,в тыс. руб.
"Доходы бюджета СФР, всего","16 830 722 534,7"
"Страховые взносы на обязательное пенсионное  страхование, в т.ч.:","9 324 209 593,4"
     на выплату страховой пенсии,"9 324 197 033,0"
     на выплату накопительной пенсии,"12 560,4"
Дополнительные страховые взносы на накопительную пенсию,"359 831,8"
Страховые взносы на обязательное социальное страхование на случай временной нетрудоспособности и в связи с материнством,"1 095 700 648,1"
Страховые взносы на обязательное социальное страхование от несчастных случаев на производстве и профессиональных заболеваний,"259 546 798,1"
"Взносы организаций, использующих труд членов летных экипажей воздушных судов гражданской авиации, и взносы организаций угольной промышленности на выплату доплат к пенсии","15 734 568,5"
"Недоимка, пени и штрафы по отмененным платежам, налоги на совокупный доход","7 494,5"
"Доходы от использования имущества, находящегося в государственной собственности, в т.ч.:","85 813 876,7"
доходы от инвестирования и временного размещения средств пенсионных накоплений,"73 807 816,1"
доходы от временного размещения средств страховых взносов на обязательное социальное страхование,"11 998 338,8"
"доходы от сдачи в аренду и использования имущества, находящегося в оперативном управлении СФР","7 721,8"
Доходы от компенсации затрат бюджета СФР,"10 704 550,6"
"Доходы от реализации имущества, находящегося в оперативном управлении СФР, от реализации конфискованного имущества","109 361,6"
"Доходы от денежных взысканий (штрафов) и иных санкций в возмещение ущерба, налагаемых за нарушение законодательства Российской Федерации","37 753 419,3"
Прочие неналоговые и невыясненные поступления,"448 170,5"
"Безвозмездные поступления в СФР от нерезидентов на выплату пенсий и иных социальных выплат, назначенных иностранными государствами лицам, проживающим на территории Российской Федерации ","3 260 328,2"
"Субвенции,                                                                                 из них:","346 365 395,6"
на субвенции бюджету Фонда пенсионного и социального страхования Российской Федерации на выплату ежемесячного пособия в связи с рождением и воспитанием ребенка,"315 698 367,3"
"Средства федерального бюджета, передаваемые бюджету СФР, в т.ч.:","5 481 150 455,3"
на валоризацию величины расчетного пенсионного капитала,"425 199 228,8"
на компенсацию выпадающих доходов бюджета СФР в связи с установлением пониженных тарифов страховых взносов на обязательное пенсионное страхование и страхование на случай временной нетрудоспособности и в связи с материнством,"884 771 281,5"
на возмещение расходов по выплате страховых пенсий в связи с зачетом в страховой стаж нестраховых периодов,"162 163 183,1"
на обязательное пенсионное страхование,"0,0"
"на выплату пенсий по государственному пенсионному обеспечению, иных доплат к пенсиям, пособий и компенсаций, финансируемых за счет средств федерального бюджета","1 303 370 006,6"
"на выплату пенсий, назначенных досрочно гражданам, признанным безработными, пособия на погребение","1 412 426,6"
на осуществление ежемесячных денежных выплат,"805 268 160,2"
на предоставление материнского (семейного) капитала,"464 059 242,1"
"на софинансирование формирования пенсионных накоплений застрахованных лиц, уплачивающих дополнительные страховые взносы по программе государственного софинансирования пенсий","172 005,3"
"на осуществление  единовременных выплат гражданам Российской Федерации, награжденным медалью ""За оборону Ленинграда"" или знаком ""Жителю блокадного Ленинграда"",в связи с 80-летием полного освобождения Ленинграда от фашистской блокады за счет средств резервного фонда Правительства Российской Федерации","498 146,0"
на осуществление выплат ежемесячного пособия в связи с рождением и воспитанием ребенка,"1 362 708 924,1"
на осуществление ежемесячной выплаты в связи с рождением (усыновлением) первого ребенка,"71 527 851,0"
"Средства Федерального фонда обязательного медицинского страхования, передаваемые бюджету СФР","166 944 140,4"
"Средства пенсионных накоплений, поступившие в бюджет СФР от негосударственных пенсионных фондов ","5 713 624,6"
"Доходы бюджета СФР от возврата остатков межбюджетных трансфертов прошлых лет, имеющих целевое назначение, а также возвраты указанных средств в бюджеты субъектов Российской Федерации","-3 099 722,5"
